Gene_Name,WT_M1,WT_M2,WT_M3,WT_F1,WT_F2,WT_F3,HT_F1,HT_F2,HT_F3,KO_M1,KO_M2,KO_M3
Haus2_JF1,960.5366353369236,1084.3632496964608,964.3628004218119,992.4259077903785,1104.9857072854347,1042.996207524114,914.0352008729127,1020.1808191476337,1210.9097763814402,932.3016090597949,1058.6343120349406,1144.6295396950459
Haus3_129,259.0538198332915,259.9321107020572,269.2884428078452,202.6919965814646,195.0638034289594,261.8474050902999,197.99034915918241,143.44620122327692,362.3194606495648,298.756876333171,188.17829379767068,159.0874972128604
Haus3_JF1,184.34541486264192,190.35432349393076,186.10510183578828,274.3990708437752,164.62031965680967,138.831845651904,187.66569904965448,186.26596278246407,99.58488099724882,0,161.89640918905747,222.12216591984281
Haus4_129,59.184580561163976,81.39288314912902,69.0844696208608,72.66316858580805,65.39711328832165,76.4453833652889,89.88518918883128,41.74926752020746,68.86188579596993,121.6045577034515,60.97397229198268,54.02971603455636
Haus4_JF1,79.55960009861387,72.20336408390477,57.805372539903935,78.39973452679291,52.994212492260644,53.59963661244394,61.340568297783506,49.24272579306521,40.257717849951646,108.09294018084579,80.94820459452873,76.0418225671534
Haus5_129,80.52983912420673,45.94759532612122,152.26781059291767,68.83879129181815,0,68.53724025853488,69.23588896977544,27.83284501347164,21.18827255260613,24.020653373521288,48.35866767984833,46.025313659066526
Haus5_JF1,106.72629281521374,146.3759108246433,0,104.21428126122471,158.98263747678195,117.74346403389325,103.24650109527917,132.74126083348014,121.83256717748525,207.1781353466211,89.35840766928496,136.07484038332714
Haus6_129,839.2567571378171,792.2678222661187,728.9116488568374,843.2751933247724,741.918974891649,890.1054407935362,717.2595164324982,576.9962870100467,885.6697926989362,650.0589319209198,749.5593490376491,824.4534446754526
Haus6_JF1,76.64888302183532,86.64403690068573,66.26469535062158,77.44364020329543,56.376821800277284,79.08143106754024,65.59189481347147,82.42804100143525,87.93133109331544,85.57357764316959,56.76887075460456,88.04842613038814
Haus7_129,214.4228246560203,306.536100247123,286.2070884292804,114.73131881969694,121.77393508859893,124.77292457323016,163.3724046742947,49.24272579306521,122.89198080511555,261.224605437044,302.76731069122434,255.14032571873838
Haus7_JF1,0,0.6563942189445888,8.459322810717648,94.65333802624997,82.31015982840484,147.61867132607512,110.53448940788711,149.869165457155,59.32716314729716,1.5012908358450805,0,1.000550296936229
Haus8_129,95.08342450809951,82.0492773680736,71.90424389110001,93.6972437027525,90.20291488044366,75.56670079787179,109.92715704850312,70.65260657265878,80.51543569990329,102.08777683746547,66.23034921370532,86.04732553651569
Haus8_JF1,51.42266835642116,66.29581611340348,101.51187372861179,82.22411182078281,92.45798775245474,93.14035214621406,107.49782761096714,150.93965949613468,66.74305854070931,138.1187568977474,80.94820459452873,61.033568113109965
Havcr2_129,44.630995177271195,46.60398954506581,40.88672691846863,35.37548996940655,40.59131169619964,65.90119255628353,41.29860043811167,88.85100523531331,48.733026870994095,51.043888418732735,55.717595370260035,89.04897642732438
Havcr2_JF1,118.36916112232795,111.58701722058011,98.69209945837257,86.0484891147727,105.98842498452129,129.16633741031572,87.45585975129529,57.80667810490264,107.00077639066096,45.03872507535241,129.30687227437707,69.0379704885998
Hax1_129,723.7983130922677,830.9950811838495,899.50799220631,784.9534395914266,793.7856509479042,717.0049750123649,826.5793411216174,640.1554353098477,526.5285729322624,845.2267405807803,713.8159859699351,709.3901605277863
Hax1_JF1,794.6257619605459,635.389603938362,735.9610845324354,777.3046850034467,878.3508836483201,844.4139472878463,822.3280146059294,1026.6037833815117,1036.1065278224398,1001.3609875086686,747.4567982689601,907.4991193211596
Hbb-b2_129,0,0,0,0,0,0,0,0,0,0,0,0
Hbb-b2_JF1,0,0,0,0,0,0,0,0,0,0,0,0
Hbb-bt_129,0,0,0,0,0,0,0,0,0,0,0,0
Hbb-bt_JF1,0,0,0,0,0,0,0,0,0,0,0,0
Hbegf_129,239.6490393214345,273.05999508094897,287.61697556440004,288.7404856962373,372.0870238818301,253.06057941612877,310.3468356452215,393.9418063445217,316.76467466146164,334.78785639345296,361.638732214518,272.1496807666543
Hbegf_JF1,198.89900024653468,196.26187146443206,225.5819416191373,161.5799406710732,217.6145321490703,210.0051336126902,194.34635500287843,232.29720645859024,211.8827255260613,249.21427875028334,182.92191687594803,237.13042037388624
Hbp1_129,749.0245277576819,861.1892152553006,833.2432968556884,886.2994378821588,711.4754911194993,727.5491658213703,801.6787143868736,564.1503585422905,827.4020431792694,624.5369877115535,663.3547675213978,700.3852078553602
Hbp1_JF1,726.7090301690463,649.1738825361983,864.2608138283198,831.8020614428028,782.5102865878487,762.6964685180548,783.4587436053537,791.0950948059824,646.242312854487,627.5395693832436,675.9700721335321,804.442438736728
Hbs1l_129,1032.3343232307946,1138.187575649917,1322.4741327421923,1014.4160772308204,1232.3973245540615,1238.9424200581304,1164.8634652985027,955.9511768088529,1114.5031362670825,1421.7224215452911,905.1481059206394,1326.7296937374394
Hbs1l_JF1,1624.1801288424344,1411.9039649498106,1453.593636308316,1794.5890452047595,1386.869816286821,1407.6494730022162,1458.2049948809722,1605.7410584695178,1567.9321688928535,1774.525767968885,1707.271224175515,1318.7252913619498
Hc_129,34.928604921342675,37.41447047984156,54.98559826966471,2.8682829704924235,40.59131169619964,43.93412837085569,44.94259459441564,62.08865426082135,26.485340690757663,7.506454179225402,0,26.01430772034195
Hc_JF1,0,0,0,56.409565086350995,0,0,0,0,0,54.04647009042289,53.61504460157098,0
Hcar1_129,29.107170767785565,39.383653136675335,26.787855567272555,58.32175373334594,27.060874464133096,26.360477022513415,25.507959094127795,36.396797325309066,29.66358157364858,28.524525881056526,25.230609224268694,39.02146158051293
Hcar1_JF1,0,0,0,0,0,0,7.895320671991937,0,0,0,0,0
Hccs_129,1828.9005632425262,1492.640453879995,1371.8201824713788,1045.0110955827395,816.3363796680151,745.1228171697124,921.9305215449045,564.1503585422905,1174.8897130420098,1180.0145969742332,1468.631711929307,1696.9333036038443
